t3-oss/create-t3-app	174	@prisma/client,mysql2,prisma	drizzle-orm
lucia-auth/lucia	1	-	-
openstatusHQ/openstatus	2164	-	drizzle-orm
midday-ai/midday	1929	pg	drizzle-orm
maybe-finance/maybe	91	-	-
plausible/analytics	215	-	-
formbricks/formbricks	2618	@prisma/client,pg,prisma	-
unkeyed/unkey	2567	mysql2	drizzle-orm
Infisical/infisical	7982	knex,mysql2,pg	-
lobehub/lobe-chat	CLONE_FAILED	-	-
t3-oss/create-t3-turbo	74	-	drizzle-orm
pingdotgg/uploadthing	425	-	drizzle-orm
makeplane/plane	3261	-	-
AnswerOverflow/AnswerOverflow	761	-	-
nicoalbanese/kirimase	54	-	-
amplication/amplication	3094	@prisma/client,prisma	-
boxyhq/saas-starter-kit	257	@prisma/client,prisma,typeorm	-
mfts/papermark	1379	@prisma/client,prisma	-
dubinc/dub	4227	@prisma/client,prisma	-
gitroomhq/gitroom	CLONE_FAILED	-	-
trpc/trpc	777	@prisma/client,prisma	drizzle-orm
blitz-js/blitz	595	@prisma/client,prisma	-
wasp-lang/wasp	1538	@prisma/client,prisma	-
prisma/prisma-examples	615	@prisma/client,pg,prisma,typeorm	drizzle-orm,kysely
redwoodjs/redwood	1623	@prisma/client,prisma	-
keystonejs/keystone	832	@prisma/client,better-sqlite3,pg,prisma	-
triggerdotdev/trigger.dev	3010	@prisma/client,pg,prisma	drizzle-orm
nextauthjs/next-auth	476	@prisma/client,better-sqlite3,mysql,mysql2,pg,prisma,sequelize,typeorm	@mikro-orm/core,drizzle-orm,kysely
remix-run/examples	626	@prisma/client,prisma	-
baptisteArno/typebot.io	2078	-	-
useplunk/plunk	472	@prisma/client,prisma	-
documenso/documenso	1949	@prisma/client,pg,prisma	kysely
