formbricks/formbricks	404	41	9
Infisical/infisical	365	8	0
mfts/papermark	458	42	28
dubinc/dub	441	32	7
trpc/trpc	86	3	0
blitz-js/blitz	120	5	0
wasp-lang/wasp	525	1	0
prisma/prisma-examples	278	0	29
redwoodjs/redwood	384	11	0
keystonejs/keystone	190	8	1
triggerdotdev/trigger.dev	480	91	13
nextauthjs/next-auth	261	3	1
remix-run/examples	92	4	1
useplunk/plunk	212	31	16
documenso/documenso	359	10	30
boxyhq/saas-starter-kit	120	1	0
t3-oss/create-t3-app	150	0	0
midday-ai/midday	323	10	0
baptisteArno/typebot.io	227	28	7
amplication/amplication	387	12	6
