repo	status	prismaModels	ourModels	prismaFks	ourFks	disagreements	detail
move-fast-and-break-things/aibyss	missing-file						
wendelpaco/bet-clones	missing-file						
AkshayPP-3/inventory_application	missing-file						
Tiger1804z/mini-lab	missing-file						
UniPat-AI/Terminal-X	missing-file						
pelsmi11/QuioscoApp	missing-file						
SharpieGod/random-request	missing-file						
Hamoudi30/bookstore-backend	missing-file						
AntczakJ/Aplikacje_webowe	missing-file						
engineer-amrit/CSCI-275	missing-file						
Deepak-Varshney/twrill-backend	missing-file						
Guc10/pracowniaAplikacjiWebowych	missing-file						
FellypeGC/nearby-react-native	missing-file						
Satwashil6451/Full-Stack-by-Satwashil	missing-file						
Aggressivecyber/FinanceSystem	missing-file						
EmanuelGDev/cor_do_som	missing-file						
AbhiramKommanapeddi/Sweet-Shop-Management-System-main	missing-file						
rajats-dev/Excali	missing-file						
uma-arai/sbcntr-frontend	missing-file						
brave/store-brave-com	missing-file						
infomiho/socialpostgpt	missing-file						
s1owjke/prisma-rls	missing-file						
vincanger/wasp-tweet-dashboard	missing-file						
beams-software/beams-server	missing-file						
alamin284/madrasha-management-system	missing-file						
Srujan0798/Ultra-Dex	missing-file						
DanielMendesSensei/M2-T7	missing-file						
talcual/nest-eventis	missing-file						
paco-darthvadr/chain-app	missing-file						
vahab-amz/digital-shop	missing-file						
GabrielMBatista/shell-frontend	missing-file						
edsonbrendon/studify	missing-file						
dev-saiful/url-shortener	missing-file						
geovanigcs/Gigio-s-Coup	missing-file						
Surya200622/Salary-calculator	missing-file						
ricardobing/pharma-business-intelligence-platform	missing-file						
Dhnillhaq/rest-express	missing-file						
mrtcmn/an-llm-chat-engine	missing-file						
v-i-s-h-a-n-t/scheduling-app	missing-file						
ShaviRajapaksha/Student-Enrollment-System-Backend-using-NestJS-PrismaORM-PostgrSQL	missing-file						
Nikunj-1812/Travel-Planner	missing-file						
Sarthak-1404/Travel-Planner	missing-file						
andreiu77/tennis-app	missing-file						
ashutoshsao/FactoryFlow	missing-file						
Jatin5233/AI-CHATBOT	missing-file						
rrahul-1/elyxity	missing-file						
larudoren/VoiceScript-CourtReporting	missing-file						
lukasz-malec/Aplikacja-finansowa	missing-file						
erga2904/Parafrasa	missing-file						
amithkumar10/Chat-App	missing-file						
necraloid/poo-ago24	missing-file						
JabRef/JabRefOnline	missing-file						
operatorx-ai/operators-ai-	missing-file						
TejasLamba2006/PokeClassfier	missing-file						
SnakeJuice/workflow-automation-saas	missing-file						
ritikkumar-07/Resume	missing-file						
donia-fioklou/traduction_doc_ts	missing-file						
rupesh1285/Imaginations	missing-file						
web3nomad/ai-persona-chat	missing-file						
IshaanBaranwal/redteam-ai	missing-file						
Hakkitaygun/mythwright-app	missing-file						
Muhammad834565/folio	missing-file						
Ramlanka7/GraphQL	missing-file						
thd46/PrepDecks	missing-file						
akhileshbenni/abblogs	missing-file						
NishantDakua/OdooxWb	missing-file						
SteffQing/koopaa-backend	missing-file						
KarthikKrishna-S/DBMS-microproject	missing-file						
SharmaAtul12/Prompt2Code	missing-file						
Harbinder04/inBookmark	missing-file						
jyn626/chat	missing-file						
Sushantjarial/Campus-Exchange	missing-file						
antonySAZ7/proyectoFinalWeb	missing-file						
anuragdey05/Logue	missing-file						
Revanthsahu05/PrysmLabs_Assignment	missing-file						
codyninja-04/InterviewAutopsy	missing-file						
Nethrananda21/Seat_Booking	missing-file						
RahulGIT24/draw-app	missing-file						
RYNIXULL/kasir-pintar	missing-file						
omraval18/nclip	missing-file						
mins-code/workflow	missing-file						
adityaraj-143/intervyu	missing-file						
ganeshabbu03/experimental	missing-file						
topbestaitools-droid/Best-Ai-Tools	missing-file						
Aistees/auth-microservices	missing-file						
DaveMBush/SmartNgRX	missing-file						
LEZEgit/overflow	missing-file						
Boudhim-Badr-Eddine/toyota-ai-platform	missing-file						
SSM2011/WebGenesis	missing-file						
danielberg3/aura-api	missing-file						
M-Sieger/dsgvo-compliance-sca	missing-file						
caenar/caenar	missing-file						
kauelunelli/planner-node	missing-file						
gabrieldorosh/maidenhead_central	missing-file						
MuhirwaVerygood/Parking_management_system_backend	missing-file						
MareeduManikanta123/Applicant-Tracking-System-ATS-Backend-API	missing-file						
mari-codes/aura-backend	missing-file						
assignment-sets/monolithic-cicd-pipeline	missing-file						
abdurehmanali611/cafe	missing-file						
HiYasin/better-auth-nextjs	missing-file						
robertWalker68501/beetlejz	missing-file						
robertWalker68501/corevia	missing-file						
LuswetiNick/scrapr	missing-file						
divy151005/-Presentifi--A-Qr-based-Attendance-System	missing-file						
daksh151005/PRESENTIFI-	missing-file						
edwxrd7/library-api-repo	missing-file						
anass-hajjaji/watchlist-api	missing-file						
anish-shendarkar/stockflow-inventory	missing-file						
RamakrushnaBiswal/otgsa	missing-file						
SyafiqTM/workshop-finder	missing-file						
ilham-alfarobi/perpusApps	missing-file						
gabriellyleitedev/deepin-ai-saas	missing-file						
malicious28/qb-securiegnty-backend	missing-file						
ischeez/ClueTrace-AI-beta	missing-file						
bdancost/NodeJS	missing-file						
AymaanPathan/prisma	missing-file						
ktp-usc/sc-economics	missing-file						
Alan-Tomaz/finance-indicators-project	missing-file						
imcgonigle/terminal-ai	missing-file						
CoffeeQuotes/shishirkumar	missing-file						
SrishtiKumari08/HFME	missing-file						
dracovoldy/Zurg-Media-Organizer	missing-file						
Dinesh0017/restaurant-billing-system	missing-file						
OkeahDavid/Metrics-hub	missing-file						
utku-guclu/smartPDF	missing-file						
sebastianrich18/link-shortener-nest	missing-file						
SrashtiBhatnagar1/mini-notion-app	missing-file						
FlavioMann/task-manager	missing-file						
projectwithnoname/website	missing-file						
tanishenigma/ainews	missing-file						
Heraclito-Q-Saldanha/metaway_challenge	missing-file						
gustavolegieri/NextJS	missing-file						
