repo	sha	reason	duplicateOf
UniPat-AI/Terminal-X	4a2da6e6e3a56fb096a33d7ad7cde9fce77b63cf	fixture-or-vendored	
Sarthak-1404/Travel-Planner	f80c8f14ca6a25c91b1ccaa1bc6ddb675889a6c4	identical-sha	Nikunj-1812/Travel-Planner
JabRef/JabRefOnline	3f79d7d7c4fcd82585eb7038cc0bf538df50a773	prisma-rejected	
omraval18/nclip	d37af69ad0da3f02967dd0a0f18756fffc0e552c	prisma-rejected	
HiYasin/better-auth-nextjs	18ef9ec5ddf9172bdd9cfc4e483d72f0da351159	identical-sha	LEZEgit/overflow
robertWalker68501/beetlejz	18ef9ec5ddf9172bdd9cfc4e483d72f0da351159	identical-sha	LEZEgit/overflow
robertWalker68501/corevia	18ef9ec5ddf9172bdd9cfc4e483d72f0da351159	identical-sha	LEZEgit/overflow
LuswetiNick/scrapr	18ef9ec5ddf9172bdd9cfc4e483d72f0da351159	identical-sha	LEZEgit/overflow
daksh151005/PRESENTIFI-	d84e521bdd92ec3fc8f3910544ec40116d3a6159	identical-sha	divy151005/-Presentifi--A-Qr-based-Attendance-System
rahulshettyacademy/eventhub	bf74b1556d094cdd0142f39265aedb7beb08117a	identical-sha	vinods0905/eventhub
Fifouuuu/eventhub	bf74b1556d094cdd0142f39265aedb7beb08117a	identical-sha	vinods0905/eventhub
nnty/eventhub	bf74b1556d094cdd0142f39265aedb7beb08117a	identical-sha	vinods0905/eventhub
anjalisi4883/PlaywrightAI	bf74b1556d094cdd0142f39265aedb7beb08117a	identical-sha	vinods0905/eventhub
rushikesh-kolpe21/project-management	90c52c8696eb8cdf0e30efd2b4dd046afb5be7b3	identical-sha	prasadbhalerao1/DBMS-ProjectManagement
La3ert/sub-market	9f6f9a838a930fbc554253fbe2e99c7d7f892915	prisma-rejected	
ChiragChrg/nextmart	54b7f83752d15b58f9b63a4f5a447d63e45fad99	prisma-rejected	
QuocThong1407/TheEverythingShop_Microservice_Clone-	69cdf1295bcd5df1926cdde50358ad20db59a1fa	prisma-rejected	
VoimaTechLab/voimaweb	4baca534503ac20c8e62a8441d536a5028c75a95	identical-sha	Bright-Anyawe/theod
Pratik-jagdale/ZeroTRUST-AI4Bharat-main	6c8034a2dd2d2d939e6985e94ebc53b36bc05608	identical-sha	prith486/zerotrust
yocxy2/canidrive9	9a15dbcb4cf443643a564232722c5d2c0f9cb5b6	identical-sha	rahmatdeep/r8r
gtsinnovation/west-africa-jobs	0d8ff38f3f43349b5e7da43eaeecdb9c9c6f0d70	prisma-rejected	
rounik-mondal/skillora	a20a1c7477641266614eb1daf3a3e885c30a13b6	identical-sha	Ishank107/Skillora-plateform
RonitKhanna333/sih-final2	8ba8b27064c4a8bc5540217d09b811d94bfd7a45	identical-sha	RonitKhanna333/sih-final-2
RonitKhanna333/sih-ps2	8ba8b27064c4a8bc5540217d09b811d94bfd7a45	identical-sha	RonitKhanna333/sih-final-2
RonitKhanna333/finsaathi	8ba8b27064c4a8bc5540217d09b811d94bfd7a45	identical-sha	RonitKhanna333/sih-final-2
Amzur-Git/Blood_Bank	106992f2825295c537f5ae72c0208b9b3a112ad9	prisma-rejected	
anonymous-boy332/new-acode-repo	eb37831370a744ce6cb8cbf18e92a780823fe7fe	prisma-rejected	
yaseenismail2004-stack/tajlbari	cc9ef7762861d3af69b4f5e604de674fc9480d15	prisma-rejected	
rimz05/jeerafinal	a8ddab75fde10bf2669a536192b08cd82a769515	identical-sha	rimz05/jeera
JonathanArroyaveGonzalez/prototipo-santuarios	4558a1e94e1b825f723fb5b8376977459cbd0bff	identical-sha	JEAG02/Santuario_Victimas_Conflicto_Armado
SHREYOTHECODINGEXPERTO/STUDY-QUEST-AI	1b045115eef5bb205abc4d96831d5d72f0ef35fa	identical-sha	SHREYOTHECODINGEXPERTO/StudyQuest-AI
29Nancy/Skill-Exchange-Platform	432f8ffb9101e21af9177b12b381aafdedbacb5e	identical-sha	azadgupta1/Nuvora
nikunjcodes/skillswap	432f8ffb9101e21af9177b12b381aafdedbacb5e	identical-sha	azadgupta1/Nuvora
GOMEZS25/floracore	6fe1f87c035f228333bffe17286569b2b2deadb0	prisma-rejected	
nihalgonsalves/expenses	36ef2bd14ddd9fd3eb427b62113f25da232c89bf	prisma-rejected	
elicharlese/TinTin	0d8beb17a8faadd51abb73efce884e68b44acbd8	prisma-rejected	
adarshsinghh13/fundsroom-erp-crm	afe9a75b648521bc50145315ad3b210ceff70c33	identical-sha	Anurudrr/fundsroom-erp-crm
alramady/alruhaily_ndmo	af885e9f8359d55b49e3ba1304288da73f9d9174	identical-sha	alramady/rased-platform-brain-20260310-1
