repo	stars	sha	models	explicitIndexes	foreignKeys	foreignKeysIndexed	foreignKeysUnindexed
move-fast-and-break-things/aibyss	8	99b564339c0917a51fb26bb45808bd25df29ac81	3	0	2	0	2
wendelpaco/bet-clones	0	8b6636f114c19fad7bbb48903da194d654c6f5db	3	0	1	0	1
AkshayPP-3/inventory_application	0	18c77dc5c64c97fcd1294f20b1a824e015837418	3	0	1	0	1
Tiger1804z/mini-lab	0	95a1bcb7d5cf35f777b1a70ef6da996f607bbff2	3	0	2	0	2
pelsmi11/QuioscoApp	0	8f5b7dfc8f2beb58c9b7889ca1f0c3813c90508f	3	0	1	0	1
SharpieGod/random-request	0	0ea56bc527e5cb1039cd303d50dec2ba09ff7362	3	0	2	0	2
Hamoudi30/bookstore-backend	0	8cbcf76bd5c6ddca40938322be01fb8fec2c220b	4	0	3	1	2
AntczakJ/Aplikacje_webowe	0	331bd0d1e74751cc7a5a2ba7c47089c59f9afe6c	3	2	2	2	0
engineer-amrit/CSCI-275	0	c2d2868a61b89866b9a87bc158b536cfc6bbb06e	3	0	2	0	2
Deepak-Varshney/twrill-backend	0	70818abffd910733d0d81562b39bb72a711c5839	3	0	2	2	0
Guc10/pracowniaAplikacjiWebowych	0	ec834c6c3d355b4e55ae4af9c629e19fb2db23fb	3	2	2	2	0
FellypeGC/nearby-react-native	0	2fcbeb324ec0110c5fc2128cfb959e8fda39898f	3	0	2	0	2
Satwashil6451/Full-Stack-by-Satwashil	0	d11c10f24a1e76d7c624713c9f898c0ca57ee4aa	3	0	1	0	1
Aggressivecyber/FinanceSystem	2	03ffdda2f0c4596688dbe6df962cce2d5468be38	3	0	1	0	1
EmanuelGDev/cor_do_som	0	4dc02bf45c8a3400eddb75f70c7e29f88428bd27	5	0	1	0	1
AbhiramKommanapeddi/Sweet-Shop-Management-System-main	0	5fafa76010e194c46b271e75b4954a6b16ef4c78	3	0	2	0	2
rajats-dev/Excali	0	9ca63b31a3e345555dc67e115bd86c38c9dc13e8	3	0	3	0	3
uma-arai/sbcntr-frontend	22	d4c0f1bc45fa5ec04f92cddbba58332326f2d35c	4	0	1	0	1
brave/store-brave-com	13	aef6fd53ea4e36a57a00f203300e59e934e8d905	6	3	2	2	0
infomiho/socialpostgpt	53	83f0a6b7b652cf2e495486e80f5ab4b513b9f910	4	0	3	1	2
s1owjke/prisma-rls	17	90e4e3fe29b3b21ec9d9286698cf9323ab657fa7	4	0	3	0	3
vincanger/wasp-tweet-dashboard	13	327d8f45d7dfa4a1d944bd198c518a897e0a5f6a	4	3	3	3	0
beams-software/beams-server	2	2e49128b54633161327a58b267c6db945a4bd9b6	5	0	4	1	3
alamin284/madrasha-management-system	0	3e8511d7609e7cbedd16a7e2ffe236d0fea92301	7	0	6	2	4
Srujan0798/Ultra-Dex	7	c85187a8bbc47896305a3b344487aff1932d0909	4	0	4	1	3
DanielMendesSensei/M2-T7	2	6a5ed174014ef81c8bb2c2051246e814fc76068a	3	3	3	3	0
talcual/nest-eventis	0	00a2bd12613713aa48854c8bf0598a3409a123bd	5	0	1	0	1
paco-darthvadr/chain-app	1	0e641d8497755f434599c6ec316b6296f16318cf	4	0	3	0	3
vahab-amz/digital-shop	0	42840a0df01532651e48b3bc319cdca55f3d34db	3	0	2	0	2
GabrielMBatista/shell-frontend	1	5b57005bd96a423438a179067e810436571c7964	4	0	3	1	2
edsonbrendon/studify	1	9ff2155f5e000410d757588566b8c71dff92e062	3	3	3	3	0
dev-saiful/url-shortener	1	4287eab65016482c683dca555c487a87e6ecd024	4	6	3	3	0
geovanigcs/Gigio-s-Coup	0	85c04a1f7b92fee85cede87b1309ab0ea48af8c2	3	3	3	3	0
Surya200622/Salary-calculator	0	96896d7e7e8f75327d07b0e12dc23b9ee95d33a4	4	0	2	1	1
ricardobing/pharma-business-intelligence-platform	1	8e2728745fa55ea8d8a3662cc013fac6ac0fcd7f	5	5	5	4	1
Dhnillhaq/rest-express	0	3e57e9a203292354b5f85e0dcb199cd794d0b5a9	4	0	3	0	3
mrtcmn/an-llm-chat-engine	0	4a044ef46be9f146bd3f261fbaed893cf4a20cee	3	4	2	2	0
v-i-s-h-a-n-t/scheduling-app	0	3f2340da1379db0679cc8272b2533edcd913f57f	4	0	2	0	2
